episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
317,46,100,57.229589,1,3,46,0.25,75,100.92,5.89,0.21
318,66,100,57.464525,1,1,66,0.11,89,42.56,4.32,0.19
319,50,100,57.66539,1,1,50,0.19,81,56.19,5.55,0.22
320,20,100,57.892482,-1,5,20,0.13,87,53.23,1.29,0.19
321,68,100,58.090364,1,0,68,0.14,86,55.41,7.85,0.21
322,60,100,58.30665,1,2,60,0.13,87,59.93,8.06,0.19
323,82,100,58.55366,1,2,82,0.06,94,139.08,13.57,0.2
324,76,100,58.759468,-1,5,76,0.09,91,83.63,8.61,0.23
325,64,100,58.9602,1,2,64,0.13,87,36.77,4.01,0.19
326,58,100,59.169884,1,0,58,0.19,81,62.66,10.26,0.19
327,52,100,59.403136,1,4,52,0.17,83,37.59,2.95,0.19
328,56,100,59.66667,1,1,56,0.16,84,77.53,8.52,0.22
329,56,100,59.88284,-1,5,56,0.14,86,54.1,7.18,0.25
330,34,100,60.113236,-1,1,34,0.19,81,47.62,2.55,0.2
331,34,100,60.344092,1,1,34,0.19,81,33,4.55,0.21
332,68,100,60.59732,1,3,68,0.07,93,64.64,3.93,0.21
333,78,100,60.818416,1,1,78,0.11,89,62.24,13.12,0.23
334,70,100,61.026827,1,2,70,0.15,85,119.08,9.91,0.21
335,74,100,61.233855,1,2,74,0.13,87,67.14,9.23,0.19
336,40,100,61.464358,-1,5,40,0.23,77,33.01,9.32,0.19
337,68,100,61.694499,1,2,68,0.14,86,52.97,8.8,0.21
338,66,100,61.928641,1,1,66,0.12,88,46.59,13.05,0.22
339,66,100,62.185379,1,3,66,0.15,85,83.5,10.43,0.22
340,58,100,62.411878,1,2,58,0.15,85,77.5,4.83,0.24
341,60,100,62.64573,1,0,60,0.17,83,51.02,6.87,0.21
342,68,100,62.854804,1,0,68,0.13,87,126.99,10.11,0.22
343,38,100,63.060022,1,3,38,0.24,76,86.31,7.44,0.2
344,62,100,63.315038,-1,3,62,0.13,87,75.23,5.93,0.19
345,54,100,63.546071,1,4,54,0.14,86,40.03,7.5,0.24
346,70,100,63.772799,1,4,70,0.13,87,76.92,14.21,0.21
347,66,100,64.001608,1,1,66,0.09,91,69.06,6.03,0.21
348,54,100,64.217454,1,2,54,0.18,82,54.55,8.41,0.21
349,60,100,64.462706,1,3,60,0.12,88,37.04,7.65,0.2
350,72,100,64.701681,1,4,72,0.14,86,121.84,7.26,0.23
351,68,100,64.947598,1,0,68,0.12,88,62.6,9.78,0.22
352,70,100,65.179409,1,2,70,0.1,90,53.88,10.56,0.23
353,56,100,65.429985,-1,4,56,0.13,87,70.98,7.43,0.22
354,82,100,65.661192,1,2,82,0.09,91,69.03,12.22,0.23
355,62,100,65.88747,1,4,62,0.15,85,111.99,11.36,0.22
356,52,100,66.09097,1,1,52,0.15,85,63.1,3.64,0.21
357,70,100,66.342115,1,0,70,0.08,92,65.46,7.04,0.19
358,58,100,66.571599,-1,0,58,0.14,86,28.44,8.5,0.24
